Generated Summary,Reference Summary,Precision,Recall,F1 Score,ROUGE-1 Precision,ROUGE-1 Recall,ROUGE-1 F1,ROUGE-2 Precision,ROUGE-2 Recall,ROUGE-2 F1,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1,Vader Sentiment Generated,Vader Sentiment Reference,Compound Generated,Compound Reference,Vader Difference
"summarize: Ever noticed how plane seats appear to be getting smaller and smaller? With increasing numbers of people taking to the skies, some experts are questioning if having such packed out planes is putting passengers at risk. They say that the shrinking space on aeroplanes is not only uncomfortable - it's putting our health and safety in danger. More than squabbling over the arm rest, shrinking space on planes putting our health and safety in danger? This week, a U.S consumer advisory group set up by the Federal Aviation Administration (FAA) issued a warning to airlines about the dangers of having too many people on board. The group said that the number of people on board a plane should not exceed 10 percent of the plane's maximum capacity. The group also said that the number of people on board a plane should not exceed 20 percent of the plane's maximum capacity. The group also said that the number of people on board a plane should not exceed","Experts question if  packed out planes are putting passengers at risk .
U.S consumer advisory group says minimum space must be stipulated .
Safety tests conducted on planes with more leg room than airlines offer .",0.8321323395,0.873531878,0.852329731,0.1529411765,0.7647058824,0.2549019608,0.0650887574,0.3333333333,0.1089108911,0.1,0.5,0.1666666667,"{'neg': 0.089, 'neu': 0.847, 'pos': 0.064, 'compound': -0.7633}","{'neg': 0.054, 'neu': 0.874, 'pos': 0.072, 'compound': 0.1779}",-0.7633,0.1779,0.9412
"summarize: A drunk teenage boy had to be rescued by security after jumping into a lions' enclosure at a zoo in western India. Rahul Kumar, 17, clambered over the enclosure fence at the Kamla Nehru Zoological Park in Ahmedabad, and began running towards the animals, shouting he would 'kill them'. Mr Kumar explained afterwards that he was drunk and 'thought I'd stand a good chance' against the predators. Next level drunk: Intoxicated teenager Rahul Kumar, 17, clambered over the enclosure fence at the Kamla Nehru Zoological Park in Ahmedabad, and began running towards the animals, shouting he would 'kill them'. Mr Kumar explained afterwards that he was drunk and 'thought I'd stand a good chance' against the predators. Next level drunk: Intoxicated teenager Rahul Kumar, 17, clambered over the enclosure fence at the Kamla Nehru Zoological Park","Drunk teenage boy climbed into lion enclosure at zoo in west India .
Rahul Kumar, 17, ran towards animals shouting 'Today I kill a lion!'
Fortunately he fell into a moat before reaching lions and was rescued .",0.8278158307,0.8906881809,0.858101964,0.1726618705,0.6666666667,0.2742857143,0.07971014493,0.3142857143,0.1271676301,0.1510791367,0.5833333333,0.24,"{'neg': 0.133, 'neu': 0.773, 'pos': 0.094, 'compound': -0.8126}","{'neg': 0.161, 'neu': 0.739, 'pos': 0.1, 'compound': -0.5848}",-0.8126,-0.5848,0.2278
"summarize: Dougie Freedman is on the verge of agreeing a new two-year deal to remain at Nottingham Forest. Freedman has stabilised Forest since he replaced cult hero Stuart Pearce and the club's owners are pleased with the job he has done at the City Ground. Dougie Freedman is set to sign a new deal at Nottingham Forest . Freedman has impressed at the City Ground since replacing Stuart Pearce in February . They made an audacious attempt on the play-off places when Freedman was on loan at West Bromwich Albion last summer . The 26-year-old, who has scored 11 goals in 30 appearances for the club, has been a constant presence at the City Ground since he joined the club in January 2013. He has also been a key figure in the club's youth development programme and has been a regular presence at the club's training ground. He has been a constant presence at the City Ground since","Nottingham Forest are close to extending Dougie Freedman's contract .
The Forest boss took over from former manager Stuart Pearce in February .
Freedman has since lead the club to ninth in the Championship .",0.8391573429,0.8955228329,0.8664243221,0.1296296296,0.6363636364,0.2153846154,0.04968944099,0.25,0.0829015544,0.1049382716,0.5151515152,0.1743589744,"{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.9657}","{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.6124}",0.9657,0.6124,0.3533
"summarize: Liverpool target Neto is also wanted by PSG and clubs in Spain as Brendan Rodgers faces stiff competition to land the Fiorentina goalkeeper, according to the Brazilian's agent Stefano Castagna. The Reds were linked with a move for the 25-year-old, whose contract expires in June, earlier in the season when Simon Mignolet was dropped from the side. A January move for Neto never materialised but the former Atletico Paranaense keeper looks certain to be part of Liverpool's summer transfer plans.

Liverpool target Neto is also wanted by PSG and clubs in Spain as Brendan Rodgers faces stiff competition to land the Fiorentina goalkeeper, according to the Brazilian's agent Stefano Castagna. The Reds were linked with a move for the 25-year-old, whose contract expires in June, earlier in the season when Simon Mignolet was dropped from the side. A January move for Neto never materialised but","Fiorentina goalkeeper Neto has been linked with Liverpool and Arsenal .
Neto joined Firoentina from Brazilian outfit Atletico Paranaense in 2011 .
He is also wanted by PSG and Spanish clubs, according to his agent .
CLICK HERE for the latest Liverpool news .",0.8336197138,0.8507732153,0.8421090841,0.1699346405,0.65,0.2694300518,0.06578947368,0.2564102564,0.1047120419,0.1241830065,0.475,0.1968911917,"{'neg': 0.0, 'neu': 0.982, 'pos': 0.018, 'compound': 0.3919}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.3919,0,0.3919
"summarize: Bruce Jenner will break his silence in a two-hour interview with Diane Sawyer later this month. The former Olympian and reality TV star, 65, will speak in a 'far-ranging' interview with Sawyer for a special edition of '20/20' on Friday April 24, ABC News announced on Monday. The interview comes amid growing speculation about the father-of-six's transition to a woman, and follows closely behind his involvement in a deadly car crash in 2009. The 2009 crash killed his 18-year-old son, Michael, and his 17-year-old daughter, Sarah. Jenner, who has been married to his wife of 17 years, Kim, for 12 years, said he was ""absolutely devastated"" by the death of his son and daughter. He also said he was ""absolutely devastated"" by the death of his son and daughter.","Tell-all interview with the reality TV star, 69, will air on Friday April 24 .
It comes amid continuing speculation about his transition to a woman and following his involvement in a deadly car crash in February .
The interview will also be one of Diane Sawyer's first appearances on television following the sudden death of her husband last year .",0.8518979549,0.8990136385,0.8748219013,0.3071428571,0.7166666667,0.43,0.1654676259,0.3898305085,0.2323232323,0.2428571429,0.5666666667,0.34,"{'neg': 0.173, 'neu': 0.798, 'pos': 0.029, 'compound': -0.9747}","{'neg': 0.101, 'neu': 0.899, 'pos': 0.0, 'compound': -0.765}",-0.9747,-0.765,0.2097
"summarize: This is the moment that a crew of firefighters struggled to haul a giant  pig out of a garden swimming pool. The prize porker, known  as Pigwig, had fallen into the pool in an upmarket neighbourhood in Ringwood, Hampshire. His owners had been taking him for a walk around the garden when the animal plunged into the water and was unable to get out. A team from Dorset Fire and Rescue struggled to haul the huge black pig out of swimming pool water. The pig, known as Pigwig, had fallen into the pool in an upmarket neighbourhood in Ringwood, Hampshire. The prize porker, known as Pigwig, had fallen into the pool in an upmarket neighbourhood in Ringwood, Hampshire. The prize porker, known as Pigwig, had fallen into the pool in an upmarket neighbourhood in Ringwood, Hampshire. The prize porker, known as Pigwig, had fallen into the pool in an up","Giant pig fell into the swimming pool at his home in Ringwood, Hampshire .
It took the efforts of a team of firefighters to winch him out of the water .
A wayward horse also had to be rescued from a swimming pool in Sussex .",0.8302730918,0.8818779588,0.8552978635,0.2052980132,0.7209302326,0.3195876289,0.08,0.2857142857,0.125,0.119205298,0.4186046512,0.1855670103,"{'neg': 0.112, 'neu': 0.781, 'pos': 0.107, 'compound': 0.2732}","{'neg': 0.0, 'neu': 0.941, 'pos': 0.059, 'compound': 0.4215}",0.2732,0.4215,0.1483
"summarize: The amount of time people spend listening to BBC radio has dropped to its lowest level ever, the corporation’s boss has admitted. Figures show that while millions still tune in, they listen for much shorter bursts. The average listener spent just ten hours a week tuning in to BBC radio in the last three months of 2014, according to official figures. The length of time people spend listening to BBC radio has dropped to its lowest level ever, figures show . This was 10% lower than in the same period in 2013. The corporation’s boss has admitted that the drop in listening time is due to a number of factors, including a reduction in the number of listeners and a rise in the number of listeners switching to other radio channels. The corporation’s boss has admitted that the drop in listening time is due to a number of factors, including a reduction in the number of listeners and a rise in the number of listeners switching","Figures show that while millions still tune in they listen for shorter bursts .
Average listener spent ten hours a week tuning in last three months of 2014 .
This was 14% down on decade earlier, when people tuned in for 11.6 hours .
The BBC Trust has cleared the way for firms to buy their way into lifestyle programmes on the World News channel in a product placement experiment. For example, publishers could pay to have their books reviewed on Talking Books. The BBC Trust will review the scheme in a year.",0.8548270464,0.87111938,0.8628962636,0.2721893491,0.5054945055,0.3538461538,0.1369047619,0.2555555556,0.1782945736,0.2426035503,0.4505494505,0.3153846154,"{'neg': 0.066, 'neu': 0.866, 'pos': 0.068, 'compound': -0.6808}","{'neg': 0.014, 'neu': 0.904, 'pos': 0.081, 'compound': 0.765}",-0.6808,0.765,1.4458
"summarize: (CNN)So, you'd like a ""Full House"" reunion and spinoff? You got it, dude! Co-star John Stamos announced Monday night on ""Jimmy Kimmel Live"" that Netflix has ordered up a reunion special, followed by a spinoff series called ""Fuller House."" The show will feature Candace Cameron Bure, who played eldest daughter D.J. Tanner in the original series -- which aired from 1987 to 1990 -- as well as her daughter, D.J. Bure, who played youngest daughter D.J. Tanner's younger sister in the original series. The spinoff series will be based on the same premise as ""Full House"" but will have its own characters and storylines. The show will air on Netflix in the United States on March 13, 2018. The reunion special will air on Netflix in the United States on March 13,","Show will return with a one-hour special, followed by spinoff, star John Stamos says .
He announced the show Monday night on ""Jimmy Kimmel Live""",0.8268473148,0.9137376547,0.8681237102,0.1376811594,0.76,0.2331288344,0.0802919708,0.4583333333,0.1366459627,0.08695652174,0.48,0.1472392638,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.9589}","{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.4019}",0.9589,0.4019,0.557
"summarize: At 11:20pm, former world champion Ken Doherty potted a final black and extinguished, for now, the dream of Reanne Evans to become the first women player to play the hallowed baize of Sheffield's Crucible Theatre in the world snooker championship. In every other respect however, 29-year-old Evans, a single mum from Dudley, was a winner on Thursday night. She advanced the cause of women in sport no less than 10 years after the death of her mother, who died in 2007. The 2008 World Snooker Champion, who won the title at the age of 16, was the first woman to play in the Crucible Theatre in 2009, and the first woman to win the title in 2010. She is the first woman to play in the Crucible Theatre since 20","Reanne Evans faced Ken Doherty in World Championship qualifier .
Doherty won the world championship in 1997 .
Evans lost the first frame 71-15 against Doherty .
But the Dudley native fought back to lead 4-3 .
Ken Doherty, however, managed to close out an enthralling contest 10-8 .",0.8137696981,0.8263981938,0.8200352788,0.1481481481,0.4255319149,0.2197802198,0.0447761194,0.1304347826,0.06666666667,0.0962962963,0.2765957447,0.1428571429,"{'neg': 0.06, 'neu': 0.716, 'pos': 0.224, 'compound': 0.9766}","{'neg': 0.084, 'neu': 0.802, 'pos': 0.114, 'compound': 0.1655}",0.9766,0.1655,0.8111
"summarize: A gang of six men have been jailed for a total of 31 years after being convicted of a string of sexual offences against teenager girls. The offences, which ranged from inciting sexual activity with a child, to rape, happened in cars, woods or at the defendants' homes in Banbury, Oxfordshire. Oxford Crown Court heard how they lured victims to parties organised on social media and then began sexually abusing them. The men were found guilty in March and have now been jailed for a total of 31 years. The court heard how they lured victims to parties organised on social media and then began sexually abusing them. The men were found guilty in March and have now been jailed for a total of 31 years. The court heard how they lured victims to parties organised on social media and then began sexually abusing them. The men were found guilty in March and have now been jailed for a total of 31 years.","Gang have been jailed for a total of 31 years for sexually abusing children .
Offences happened in cars, woods or at the defendants' homes in Banbury .
Lured victims to parties organised on social media and then abused them .
Girls aged between 13 and 16 were exploited by the gang from 2009 to 2014 .",0.8774386048,0.9038388729,0.8904430866,0.262195122,0.8113207547,0.3963133641,0.1779141104,0.5576923077,0.2697674419,0.237804878,0.7358490566,0.3594470046,"{'neg': 0.233, 'neu': 0.726, 'pos': 0.041, 'compound': -0.9887}","{'neg': 0.246, 'neu': 0.715, 'pos': 0.039, 'compound': -0.926}",-0.9887,-0.926,0.0627
