Summary,Index,Generated Summary,Reference Summary,BERTScore Precision,BERTScore Recall,BERTScore F1,ROUGE-1 Precision,ROUGE-1 Recall,ROUGE-1 F1,ROUGE-2 Precision,ROUGE-2 Recall,ROUGE-2 F1,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1,VADER Generated Compound,VADER Reference Compound,VADER Difference,VADER Generated Compound,VADER Reference Compound,Vader Absolute diff
Summary 1,1,"summarize: Ever noticed how plane seats appear to be getting smaller and smaller? With increasing numbers of people taking to the skies, some experts are questioning if having such packed out planes is putting passengers at risk. They say that the shrinking space on aeroplanes is not only uncomfortable - it's putting our health and safety in danger. More than squabbling over the arm rest, shrinking space on planes putting our health and safety in danger? This week, a U.S consumer advisory group set up by the Department of Transportation said at a public hearing that while the government is happy to set standards for animals flying on planes, it doesn't stipulate a minimum amount of space for humans. 'In a world where animals have more rights to space and food than humans,' said Charlie Leocha, consumer representative on the committee.","Experts question if  packed out planes are putting passengers at risk .
U.S consumer advisory group says minimum space must be stipulated .
Safety tests conducted on planes with more leg room than airlines offer .",0.06676021963,0.2985950112,0.1813896298,0.1888111888,0.7941176471,0.3050847458,0.07746478873,0.3333333333,0.1257142857,0.1328671329,0.5588235294,0.2146892655,0.3703,0.1779,0.1924,0.3703,0.1779,0.1924
Summary 2,2,"summarize: A drunk teenage boy had to be rescued by security after jumping into a lions' enclosure at a zoo in western India. Rahul Kumar, 17, clambered over the enclosure fence at the Kamla Nehru Zoological Park in Ahmedabad, and began running towards the animals, shouting he would 'kill them'. Mr Kumar explained afterwards that he was drunk and 'thought I'd stand a good chance' against the predators. Next level drunk: Intoxicated Rahul Kumar, 17, climbed into the lions' enclosure at a zoo in Ahmedabad and began running towards the animals shouting 'Today I kill a lion!' Mr Kumar had been sitting near the enclosure when he suddenly made a dash for the lions, surprising zoo security.","Drunk teenage boy climbed into lion enclosure at zoo in west India .
Rahul Kumar, 17, ran towards animals shouting 'Today I kill a lion!'
Fortunately he fell into a moat before reaching lions and was rescued .",0.224477455,0.4569644928,0.3392396271,0.2457627119,0.8055555556,0.3766233766,0.1367521368,0.4571428571,0.2105263158,0.2033898305,0.6666666667,0.3116883117,0.6476,0.5848,0.0628,-0.6476,-0.5848,0.0628
Summary 3,3,"summarize: Dougie Freedman is on the verge of agreeing a new two-year deal to remain at Nottingham Forest. Freedman has stabilised Forest since he replaced cult hero Stuart Pearce and the club's owners are pleased with the job he has done at the City Ground. Dougie Freedman is set to sign a new deal at Nottingham Forest . Freedman has impressed at the City Ground since replacing Stuart Pearce in February . They made an audacious attempt on the play-off places when Freedman replaced Pearce but have tailed off in recent weeks. That has not prevented Forest's ownership making moves to secure Freedman on a contract for the next two seasons.

Forest's owner, Evangelho Fernandes, is delighted with the progress of the club under Freedman's leadership and is keen to secure his long-term future at the club.","Nottingham Forest are close to extending Dougie Freedman's contract .
The Forest boss took over from former manager Stuart Pearce in February .
Freedman has since lead the club to ninth in the Championship .",0.1179749444,0.3678676784,0.2411467582,0.1549295775,0.6666666667,0.2514285714,0.05673758865,0.25,0.09248554913,0.1126760563,0.4848484848,0.1828571429,0.9839,0.6124,0.3715,0.9839,0.6124,0.3715
Summary 4,4,"summarize: Liverpool target Neto is also wanted by PSG and clubs in Spain as Brendan Rodgers faces stiff competition to land the Fiorentina goalkeeper, according to the Brazilian's agent Stefano Castagna. The Reds were linked with a move for the 25-year-old, whose contract expires in June, earlier in the season when Simon Mignolet was dropped from the side. A January move for Neto never materialised but the former Atletico Paranaense keeper looks certain to leave the Florence-based club in the summer. Neto rushes from his goal as Juan Iturbe bears down on him during Fiorentina's clash with Roma in March . Neto is wanted by a number of top European clubs including Liverpool and PSG, according to his agent .","Fiorentina goalkeeper Neto has been linked with Liverpool and Arsenal .
Neto joined Firoentina from Brazilian outfit Atletico Paranaense in 2011 .
He is also wanted by PSG and Spanish clubs, according to his agent .
CLICK HERE for the latest Liverpool news .",0.1092529073,0.2464185357,0.1782563776,0.2195121951,0.675,0.3312883436,0.106557377,0.3333333333,0.1614906832,0.1300813008,0.4,0.1963190184,0.6124,0,0.6124,0.6124,0,0.6124
Summary 5,5,"summarize: Bruce Jenner will break his silence in a two-hour interview with Diane Sawyer later this month. The former Olympian and reality TV star, 65, will speak in a 'far-ranging' interview with Sawyer for a special edition of '20/20' on Friday April 24, ABC News announced on Monday. The interview comes amid growing speculation about the father-of-six's transition to a woman, and follows closely behind his involvement in a deadly car crash in California in February. And while the Kardashian women are known for enjoying center stage, they will not be stealing Bruce's spotlight because they will be in Armenia when the interview airs, according to TMZ. Scroll down for video . Speaking out: Bruce Jenner, pictured on 'Keeping Up with the Kardashians' will speak out in a 'far-ranging' interview with Diane Sawyer later this month, ABC News announced on Monday .","Tell-all interview with the reality TV star, 69, will air on Friday April 24 .
It comes amid continuing speculation about his transition to a woman and following his involvement in a deadly car crash in February .
The interview will also be one of Diane Sawyer's first appearances on television following the sudden death of her husband last year .",0.1257432699,0.4590670168,0.2882567942,0.2905405405,0.7166666667,0.4134615385,0.1632653061,0.406779661,0.2330097087,0.2432432432,0.6,0.3461538462,0.7963,0.765,0.0313,0.7963,-0.765,0.0313
Summary 6,6,"summarize: This is the moment that a crew of firefighters struggled to haul a giant pig out of a garden swimming pool. The prize porker, known as Pigwig, had fallen into the pool in an upmarket neighbourhood in Ringwood, Hampshire. His owners had been taking him for a walk around the garden when the animal plunged into the water and was unable to get out. A team from Dorset Fire and Rescue struggled to haul the huge black pig out of swimming pool water . The prize porker known as Pigwig had fallen into the water and had then been unable to get out again . Two fire crews and a specialist animal rescue team had to use slide boards and strops to haul the huge black pig from the small pool.","Giant pig fell into the swimming pool at his home in Ringwood, Hampshire .
It took the efforts of a team of firefighters to winch him out of the water .
A wayward horse also had to be rescued from a swimming pool in Sussex .",0.1337401271,0.3956675828,0.2626108825,0.2384615385,0.7209302326,0.3583815029,0.1007751938,0.3095238095,0.1520467836,0.1615384615,0.488372093,0.2427745665,0.6369,0.4215,0.2154,0.6369,0.4215,0.2154
Summary 7,7,"summarize: The amount of time people spend listening to BBC radio has dropped to its lowest level ever, the corporation’s boss has admitted. Figures show that while millions still tune in, they listen for much shorter bursts. The average listener spent just ten hours a week tuning in to BBC radio in the last three months of 2014, according to official figures. The length of time people spend listening to BBC radio has dropped to its lowest level ever, figures show . This was 14 per cent down on a decade earlier, when listeners clocked up an average of 11.6 hours a week. The minutes of the BBC Trust’s February meeting, published yesterday, revealed that director general Tony Hall highlighted the fall. ‘He noted…that time spent listening to BBC radio had dropped to its lowest ever level,’ the documents said.","Figures show that while millions still tune in they listen for shorter bursts .
Average listener spent ten hours a week tuning in last three months of 2014 .
This was 14% down on decade earlier, when people tuned in for 11.6 hours .
The BBC Trust has cleared the way for firms to buy their way into lifestyle programmes on the World News channel in a product placement experiment. For example, publishers could pay to have their books reviewed on Talking Books. The BBC Trust will review the scheme in a year.",0.2204599231,0.2963438928,0.2593321204,0.3776223776,0.5934065934,0.4615384615,0.2183098592,0.3444444444,0.2672413793,0.3146853147,0.4945054945,0.3846153846,0.7506,0.765,-0.0144,-0.7506,0.765,0.0144
Summary 8,8,"summarize: (CNN)So, you'd like a ""Full House"" reunion and spinoff? You got it, dude! Co-star John Stamos announced Monday night on ""Jimmy Kimmel Live"" that Netflix has ordered up a reunion special, followed by a spinoff series called ""Fuller House."" The show will feature Candace Cameron Bure, who played eldest daughter D.J. Tanner in the original series -- which aired from 1987 to 1995 -- as the recently widowed mother of three boys. ""It's sort of a role reversal, and we turn the house over to her,"" Stamos told Kimmel. Jodie Sweetin, who played Stephanie Tanner in the original series, and Andrea Barber, who portrayed D.J.'s best friend Kimmy Gibbler, will both return for the new series, Netflix said. Stamos will produce and guest star. Talks with co-starsBob Saget, Mary-Kate and Ashley Olsen, Dave Coulier and Lori Loughlin are ongoing, Netflix said.","Show will return with a one-hour special, followed by spinoff, star John Stamos says .
He announced the show Monday night on ""Jimmy Kimmel Live""",-0.121482715,0.506765306,0.1747540683,0.1342281879,0.8,0.2298850575,0.07432432432,0.4583333333,0.1279069767,0.08053691275,0.48,0.1379310345,0.9531,0.4019,0.5512,0.9531,0.4019,0.5512
Summary 9,9,"summarize: At 11:20pm, former world champion Ken Doherty potted a final black and extinguished, for now, the dream of Reanne Evans to become the first women player to play the hallowed baize of Sheffield's Crucible Theatre in the world snooker championship. In every other respect however, 29-year-old Evans, a single mum from Dudley, was a winner on Thursday night. She advanced the cause of women in sport no end and gave Doherty the fright of his life in an enthralling and attritional match that won't be bettered in this year's qualifying tournament. Snooker's governing body had been criticised in some quarters for allowing Evans a wild card to compete alongside 127 male players for the right to play in the sport's blue-chip event on April 18 - something no female had achieved. Reanne Evans shakes hands with Ken Doherty following his 10-8 victory at Ponds Forge .","Reanne Evans faced Ken Doherty in World Championship qualifier .
Doherty won the world championship in 1997 .
Evans lost the first frame 71-15 against Doherty .
But the Dudley native fought back to lead 4-3 .
Ken Doherty, however, managed to close out an enthralling contest 10-8 .",-0.1177000776,0.1314839423,0.005375478417,0.1741935484,0.5744680851,0.2673267327,0.05194805195,0.1739130435,0.08,0.1032258065,0.3404255319,0.1584158416,0.9136,0.1655,0.7481,0.9136,0.1655,0.7481
Summary 10,10,"summarize: A gang of six men have been jailed for a total of 31 years after being convicted of a string of sexual offences against teenager girls. The offences, which ranged from inciting sexual activity with a child, to rape, happened in cars, woods or at the defendants' homes in Banbury, Oxfordshire. Oxford Crown Court heard how they lured victims to parties organised on social media and then began sexually abusing them. The men were found guilty in March and have now been handed sentences of between three and nine years in jail. Jailed: Ahmed Hassan-Sule, 21 (left) was sentenced to nine years' imprisonment. Mohamed Saleh, 22, (right) was imprisoned for four years and nine months . The girls, aged between 13 and 16, were targeted by the gang at under-18s parties organised by Ahmed Hassan-Sule, 21, known as 'Fiddy'.","Gang have been jailed for a total of 31 years for sexually abusing children .
Offences happened in cars, woods or at the defendants' homes in Banbury .
Lured victims to parties organised on social media and then abused them .
Girls aged between 13 and 16 were exploited by the gang from 2009 to 2014 .",0.2024208456,0.6065368056,0.3978207111,0.338028169,0.9056603774,0.4923076923,0.2624113475,0.7115384615,0.3834196891,0.3169014085,0.8490566038,0.4615384615,0.9661,0.926,0.0401,-0.9661,-0.926,0.0401
