Summary Index,Generated Summary,Reference Summary,BERTScore Precision,BERTScore Recall,BERTScore F1,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,Generated VADER Compound,Reference VADER Compound,Vader difference
1,"Experts say shrinking space on aeroplanes is not only uncomfortable - it's putting our health and safety in danger. This week, a U.S consumer advisory was issued.","Experts question if  packed out planes are putting passengers at risk .
U.S consumer advisory group says minimum space must be stipulated .
Safety tests conducted on planes with more leg room than airlines offer .",0.893214345,0.8662852049,0.8795437217,0.3225806452,0.1,0.1935483871,0.15,0.18,0.0288
2,"Rahul Kumar, 17, jumped into the enclosure at the Kamla Nehru Zoological Park in Ahmedabad, western India. He was rescued by security after shouting he would 'kill them'","Drunk teenage boy climbed into lion enclosure at zoo in west India .
Rahul Kumar, 17, ran towards animals shouting 'Today I kill a lion!'
Fortunately he fell into a moat before reaching lions and was rescued .",0.8700919151,0.8772310615,0.8736468554,0.40625,0.1290322581,0.25,-0.13,-0.58,0.4568
3,Dougie Freedman is on the verge of agreeing a new two-year deal at Nottingham Forest. Freedman has stabilised Forest since he replaced cult hero Stuart Pearce.,"Nottingham Forest are close to extending Dougie Freedman's contract .
The Forest boss took over from former manager Stuart Pearce in February .
Freedman has since lead the club to ninth in the Championship .",0.9067869186,0.8800087571,0.8931971788,0.3666666667,0.1379310345,0.2333333333,0.85,0.61,0.2357
4,Fiorentina goalkeeper Neto is also wanted by PSG and clubs in Spain. Liverpool were linked with a move for the 25-year-old in January.,"Fiorentina goalkeeper Neto has been linked with Liverpool and Arsenal .
Neto joined Firoentina from Brazilian outfit Atletico Paranaense in 2011 .
He is also wanted by PSG and Spanish clubs, according to his agent .
CLICK HERE for the latest Liverpool news .",0.9318420887,0.8604593277,0.8947292566,0.4923076923,0.2857142857,0.3692307692,0.00,0.00,0
5,"The former Olympian and reality TV star, 65, will speak in a 'far-ranging' interview with Sawyer for a special edition of '20/20' on Friday April 24.","Tell-all interview with the reality TV star, 69, will air on Friday April 24 .
It comes amid continuing speculation about his transition to a woman and following his involvement in a deadly car crash in February .
The interview will also be one of Diane Sawyer's first appearances on television following the sudden death of her husband last year .",0.8952997923,0.8597645164,0.8771724701,0.3863636364,0.1627906977,0.2272727273,0.40,-0.77,1.1669
6,"The prize porker, known as Pigwig, had fallen into the pool in Ringwood, Hampshire. His owners had been taking him for a walk around the garden when he plunged into the water and was unable to get out.","Giant pig fell into the swimming pool at his home in Ringwood, Hampshire .
It took the efforts of a team of firefighters to winch him out of the water .
A wayward horse also had to be rescued from a swimming pool in Sussex .",0.891268611,0.87924999,0.8852185011,0.3703703704,0.1265822785,0.2469135802,0.20,0.42,0.2192
7,"The average listener spent just ten hours a week tuning in to BBC radio in the last three months of 2014, according to official figures. This was 14 hours less than in the previous year.","Figures show that while millions still tune in they listen for shorter bursts .
Average listener spent ten hours a week tuning in last three months of 2014 .
This was 14% down on decade earlier, when people tuned in for 11.6 hours .
The BBC Trust has cleared the way for firms to buy their way into lifestyle programmes on the World News channel in a product placement experiment. For example, publishers could pay to have their books reviewed on Talking Books. The BBC Trust will review the scheme in a year.",0.9253715277,0.8645992279,0.8939537406,0.4444444444,0.2096774194,0.3333333333,0.00,0.77,0.765
8,"Netflix has ordered up a ""Full House"" reunion special and a spinoff series. The show will feature Candace Cameron Bure, who played eldest daughter D.J. Tanner.","Show will return with a one-hour special, followed by spinoff, star John Stamos says .
He announced the show Monday night on ""Jimmy Kimmel Live""",0.8692886233,0.8616144061,0.8654345274,0.2307692308,0.08,0.1923076923,0.62,0.40,0.223
9,Former world champion Ken Doherty potted a final black and extinguished the dream of Reanne Evans to become the first women player to play at Sheffield's Crucible Theatre.,"Reanne Evans faced Ken Doherty in World Championship qualifier .
Doherty won the world championship in 1997 .
Evans lost the first frame 71-15 against Doherty .
But the Dudley native fought back to lead 4-3 .
Ken Doherty, however, managed to close out an enthralling contest 10-8 .",0.8433457613,0.8135713339,0.8281910419,0.2631578947,0.08108108108,0.1842105263,0.81,0.17,0.6419
10,"The offences ranged from inciting sexual activity with a child, to rape, happened in cars, woods or at the defendants' homes in Banbury, Oxfordshire.","Gang have been jailed for a total of 31 years for sexually abusing children .
Offences happened in cars, woods or at the defendants' homes in Banbury .
Lured victims to parties organised on social media and then abused them .
Girls aged between 13 and 16 were exploited by the gang from 2009 to 2014 .",0.9092921615,0.8572708964,0.8825156093,0.4415584416,0.2666666667,0.3116883117,-0.80,-0.93,0.1296
11,"Mohammed Ali Malek, 27, was arrested when he stepped onto Sicilian soil last night. He is accused of killing 900 men, women and children in one of the worst maritime disasters since World War Two.","Mohammed Ali Malek, 27, has been charged with multiple manslaughter .
Arrived in Malta on Italian rescue ship with bodies of 24 migrant victims .
He was arrested alongside his 26-year-old Syrian 'smuggler accomplice'
Prosecutors say Malek crashed into ship which had come to its rescue .
Migrants then shifted position as result of collision, causing it to capsize .",0.8803447485,0.8459118605,0.8627848625,0.2150537634,0.08791208791,0.1505376344,-0.97,-0.64,0.3325
12,"Mark Lippert, 42, suffered deep gashes to his cheek and hand when he was assaulted by knife-wielding nationalist Kim Ki-Jong. The envoy required 80 stitches to the wound on his face and two-and-a-half hours of surgery.","Lippert, 42, suffered deep gashes to his hand when he was assaulted by knife-wielding nationalist Kim Ki-Jong in central Seoul last month .
'It is an amazing apparatus, one I haven't seen before - so innovative and creative,' he wrote on Facebook .",0.9030495286,0.8832609057,0.8930456042,0.5,0.4146341463,0.4761904762,-0.53,0.81,1.3344
13,Cook resumed on 95 and reached three figures with minimal fuss. A controlled thick edge from the first ball of the day brought him an 11th boundary of the innings.,"Alastair Cook completed his century on the second morning of action .
England captain resumed on 95 and reached three figures before retiring .
That allowed Ian Bell to arrive at the crease as tourists continued to bat .",0.8735527396,0.8461930752,0.859655261,0.3333333333,0.1875,0.2727272727,0.10,0.10,0
14,Warren Weinstein appears to have been the only American citizen held hostage by al Qaeda. He was accidentally killed in a U.S. drone strike in January.,"U.S. hostage Warren Weinstein is believed to have been accidentally killed in counter-terrorism strike .
Peter Bergen: U.S. should rethink hostage policy to increase chances of freeing those held .",0.9033482075,0.8762546182,0.8895952106,0.4482758621,0.2142857143,0.3448275862,-0.81,-0.30,0.5166
15,Sofia Davila posted raunchy pictures or herself online and then flirted with unsuspecting men she had contacted on the social network. The 21-year-old from Buenos Aires would spike their drinks and wait for them to fall unconscious.,"Sofia Davila, 21, nicknamed the 'Black Widow of Facebook' over crimes .
Caught after going to police, claiming she was forced out her victim's flat .
She has admitted bedding and robbing 15 men after spiking their drinks .",0.8799314499,0.8592212796,0.8694530725,0.2894736842,0.08108108108,0.1842105263,-0.05,-0.38,0.3302
16,"The 2015 Australian Fashion Report has named and shamed some of the worst clothing brands sold in Australia. Lowes, Industrie, Best & Less and the Just Group - which includes Just Jeans, Portmans and Dotti - were among the worst performing companies.","Australian Fashion Report revealed the Australian-sold brands and companies that ignore the exploitation of their overseas workers .
Lowes, Industrie, Best & Less and the Just Group - which includes Just Jeans, Portmans and Dotti - were  some of the worst performers .
Etiko, Audrey Blue, Cotton On, H&M and Zara had some of the best scores .
75 per cent of companies don't know the source of all their fabrics and inputs .",0.9410057068,0.8876355886,0.9135418534,0.5504587156,0.3925233645,0.4587155963,-0.82,0.42,1.244
17,"Jack Wilshere, Mikel Arteta and Abou Diaby all start for Under 21s. Steve Gatting's young Gunners take on Stoke City at the Emirates Stadium. Teenage winger Serge Gnabry is also in the starting line-up.","Arsenal take on Stoke City in Barclays Under 21 Premier League clash .
Jack Wilshere and club captain Mikel Arteta have been out since November .
Abou Diaby has been ravaged by injuries during nine-year spell at club .
Arteta, Wilshere and Diaby are all close to first-team returns .
Young winger Serge Gnabry also in the side on return from injury .
READ: Arsenal's Alex Oxlade-Chamberlain, Calum Chambers, Jack Wilshere and Danny Welbeck keep their agents close .
CLICK HERE for all the latest Arsenal news .",0.8976987004,0.8364491463,0.8659922481,0.3966942149,0.1680672269,0.2314049587,0.00,-0.42,0.4215
18,"Prasanna ‘Nick’ Arulchelvam ran and jumped through an open side door of their van, but was pushed out and hit.","Prasanna Arulchelvam leapt into van as it sped away but was pushed out .
His head hit the ground with a 'nasty crunch' and he died 11 days later .
A gang tried to steal cigarettes from the victim's van before he gave chase .
All three have now been jailed, including the man who pushed Mr Prasanna .",0.895288229,0.8533630967,0.8738231063,0.2368421053,0.08108108108,0.2105263158,0.00,-0.97,0.9657
19,The stunning sunsets were the result of raging wildfires in parts of Siberia. The deep reddish color caught Seattle native Tim Durkan's eye.,"Smoke from massive fires in Siberia created fiery sunsets in the Pacific Northwest .
Atmospheric winds carried smoke from the wildfires across the Pacific Ocean .
Smoke particles altered wavelengths from the sun, creating a more intense color .",0.8854724169,0.8546572924,0.8697919846,0.2666666667,0,0.1666666667,-0.20,0.34,0.5407
